"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-01","2.5","0.0","0.0","0.0",,"0.6","-4.3",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-02","5.5","8.4","79.0","0.0",,"0.6","-7.7",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-03","4.7","7.4","84.0","150.0",,"-7.7","-12.7",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-04","2.2","0.0","0.0","150.0",,"-1.6","-13.2",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-05","1.7","3.6","0.0","100.0",,"4.4","-2.7",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-06","3.8","9.1","0.0","30.0",,"12.8","-7.1",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-07","5.9","0.0","0.0","0.0",,"-7.1","-15.5",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-08","3.2","0.0","0.0","0.0",,"-5.5","-12.7",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-09","1.3","0.0","0.0","0.0",,"0.0","-5.5",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-10","1.5","2.8","0.0","0.0",,"2.8","-1.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-11","3.2","12.7","0.0","0.0",,"14.4","2.8",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-12","3.7","1.3","0.0","0.0",,"12.2","3.3",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-13","2.3","0.0","0.0","0.0",,"10.6","2.8",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-14","2.2","9.7","0.0","0.0",,"11.1","6.7",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-15","1.3","0.0","0.0","0.0",,"8.3","3.9",
